Valeur fonciere,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Cadastre,Prix m2
180300.0,Maison,75.0,4,525.0,1 53 AI,2404.0
54800.0,Appartement,32.0,1,0.0,1 53 BK,1712.5
53650.0,Appartement,50.0,2,195.0,1 108 AB,1073.0
97000.0,Appartement,92.0,3,0.0,1 53 AZ,1054.3478260869565
215000.0,Maison,93.0,4,790.0,1 422 D,2311.8279569892475
179210.0,Maison,90.0,5,1350.0,1 264 AA,1991.2222222222222
264450.0,Maison,111.0,5,1002.0,1 385 A,2382.4324324324325
96000.0,Appartement,74.0,3,0.0,1 53 BD,1297.2972972972973
269000.0,Maison,287.0,9,1100.0,1 69 ZH,937.2822299651568
99000.0,Appartement,91.0,4,0.0,1 53 AZ,1087.9120879120878
235600.0,Maison,97.0,4,797.0,1 241 ZH,2428.865979381443
165000.0,Maison,87.0,2,1265.0,1 365 C,1896.551724137931
70000.0,Appartement,45.0,2,0.0,1 53 AD,1555.5555555555557
119270.0,Maison,80.0,3,1493.0,1 124 ZH,1490.875
57000.0,Maison,61.0,4,960.0,1 445 ZI,934.4262295081967
185000.0,Maison,107.0,4,924.0,1 304 AH,1728.9719626168223
132900.0,Maison,95.0,3,1081.0,1 94 B,1398.9473684210527
167330.0,Appartement,150.0,5,73.0,1 314 E,1115.5333333333333
85000.0,Maison,90.0,4,55.0,1 125 E,944.4444444444445
143000.0,Appartement,78.0,3,0.0,1 370 A,1833.3333333333333
125000.0,Maison,95.0,3,338.0,1 53 AC,1315.7894736842106
240000.0,Maison,165.0,6,700.0,1 426 ZO,1454.5454545454545
224000.0,Maison,101.0,5,1047.0,1 350 AA,2217.8217821782177
74990.0,Maison,107.0,3,921.0,1 196 C,700.8411214953271
208850.0,Maison,120.0,6,805.0,1 405 C,1740.4166666666667
154816.0,Maison,127.0,4,729.0,1 388 B,1219.023622047244
85000.0,Maison,120.0,5,116.0,1 266 AB,708.3333333333334
210000.0,Maison,92.0,5,900.0,1 25 F,2282.608695652174
268200.0,Maison,114.0,5,642.0,1 159 AM,2352.6315789473683
251500.0,Maison,130.0,5,880.0,1 451 E,1934.6153846153845
101300.0,Appartement,72.0,4,0.0,1 289 AC,1406.9444444444443
87720.0,Appartement,56.0,3,0.0,1 344 AH,1566.4285714285713
105000.0,Appartement,76.0,4,0.0,1 53 AV,1381.578947368421
67000.0,Appartement,38.0,2,0.0,1 53 AB,1763.157894736842
299000.0,Appartement,74.0,3,216.0,1 53 AD,4040.5405405405404
147000.0,Maison,107.0,4,250.0,1 374 B,1373.8317757009345
227000.0,Maison,96.0,4,2116.0,1 320 AN,2364.5833333333335
83000.0,Appartement,50.0,3,0.0,1 445 ZL,1660.0
119000.0,Appartement,121.0,4,0.0,1 53 AN,983.4710743801653
118000.0,Maison,130.0,4,1096.0,1 426 AB,907.6923076923077
191750.0,Maison,150.0,6,1292.0,1 236 AM,1278.3333333333333
135000.0,Maison,57.0,3,211.0,1 53 AV,2368.4210526315787
41000.0,Appartement,54.0,3,0.0,1 53 AE,759.2592592592592
115900.0,Appartement,48.0,2,0.0,1 53 CR,2414.5833333333335
82500.0,Maison,95.0,4,125.0,1 266 C,868.421052631579
175000.0,Maison,112.0,5,1320.0,1 72 AH,1562.5
225000.0,Maison,119.0,5,412.0,1 344 AR,1890.7563025210084
152000.0,Appartement,108.0,4,0.0,1 53 BC,1407.4074074074074
209950.0,Maison,78.0,5,242.0,1 53 AL,2691.6666666666665
301000.0,Maison,99.0,4,800.0,1 289 AO,3040.40404040404
92500.0,Maison,98.0,4,1617.0,1 25 D,943.8775510204082
143500.0,Maison,85.0,4,478.0,1 179 D,1688.235294117647
28000.0,Maison,68.0,1,100.0,1 211 A,411.7647058823529
127700.0,Maison,110.0,4,0.0,1 301 AB,1160.909090909091
71000.0,Maison,59.0,3,173.0,1 320 AD,1203.3898305084747
206400.0,Maison,101.0,5,855.0,1 422 ZD,2043.5643564356435
232070.0,Maison,124.0,5,500.0,1 136 A,1871.532258064516
111000.0,Appartement,77.0,3,0.0,1 306 A,1441.5584415584415
207170.0,Maison,106.0,4,0.0,1 53 CH,1954.433962264151
189000.0,Maison,90.0,4,724.0,1 266 AE,2100.0
164650.0,Maison,90.0,4,212.0,1 53 AK,1829.4444444444443
174500.0,Maison,100.0,4,545.0,1 426 ZI,1745.0
122000.0,Appartement,63.0,2,0.0,1 53 AZ,1936.5079365079366
